CHROMOSOME	GENOME_START	GENE_SYMBOL	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40
1	197053258	ASPM	-0.637	-1.327	-0.058	-0.308	-0.622	-0.032	-0.312	-0.026	-0.234	-0.704	-0.298	-0.417	-0.889	-1.159	-0.556	-0.583	-0.917	-0.65	-0.75	-2.113	-0.387	-0.146	-0.797	-0.141	-0.387	-0.579	-1.278	-0.231	-0.413	-0.302	-0.496	-0.219	-0.27	-0.563	-0.204	-0.12	-0.805	-0.664	-0.525	-0.498
1	203274619	BTG2	-0.628	-0.289	-0.507	-0.42	-0.778	-0.117	-1.16	-0.935	-0.517	-0.484	-0.255	-0.175	-0.518	-0.406	-0.504	-0.489	-0.925	-0.344	-0.601	-0.197	-0.368	-0.094	-0.276	-0.957	-0.163	-0.109	-0.705	-0.173	-0.256	-0.27	-0.146	-0.552	-0.336	-0.82	-0.324	-0.422	-0.055	-0.847	-0.547	-0.216
1	193091147	CDC73	-0.537	-0.43	-0.409	-0.352	-1.16	-0.285	-0.427	-0.47	-0.954	-1.05	-0.14	-0.558	-0.769	-0.845	-0.219	-0.524	-0.228	-0.476	-1.276	-0.935	-0.514	-1.91	-0.011	-0.756	-0.19	-0.314	-0.089	-0.136	-0.678	-0.53	-0.432	-1.13	-0.654	-0.225	-0.82	-1.024	-0.766	-0.403	-0.553	-0.319
1	201977073	ELF3	-0.684	-0.257	-0.62	-0.562	-0.726	-0.433	-0.015	-0.598	-0.423	-0.437	-1.662	-0.662	-0.8	-0.205	-1.024	-0.909	-0.57	-1.289	-0.426	-0.349	-0.596	-0.178	-0.881	-0.365	-1.088	-0.83	-1.46	-0.78	-0.419	-0.357	-0.467	-1.186	-0.278	-0.992	-0.042	-1.217	-0.398	-0.558	-0.934	-0.251
1	205577071	ELK4	-1.175	-0.228	-0.618	-0.791	-0.394	-1.232	-0.542	-0.387	-0.105	-1.064	-1.069	-0.743	-0.35	-0.525	-1.339	-0.638	-0.289	-0.104	-0.645	-0.478	-0.7	-1.153	-0.334	-0.452	-0.194	-0.2	-1.055	-0.598	-0.875	-0.6	-1.101	-0.821	-1	-0.619	-0.154	-0.458	-0.255	-0.007	-0.432	-0.871
1	204485511	MDM4	-0.711	-1.617	-0.542	-0.841	-0.345	-0.029	-0.26	-0.564	-1.138	-0.843	-0.89	-0.317	-1.411	-0.638	-0.124	-0.053	-0.12	-0.757	-0.025	-0.555	-0.362	-0.159	-0.677	-0.664	-0.046	-0.17	-0.156	-0.098	-0.677	-0.435	-0.251	-0.835	-0.364	-0.771	-0.595	-0.361	-0.469	-0.539	-0.879	-0.434
1	198607801	PTPRC	-1.234	-0.263	-1.002	-0.78	-0.635	-0.954	-0.709	-0.417	-0.876	-0.183	-1.554	-0.151	-1.355	-0.56	-0.23	-0.175	-1.215	-0.273	-0.403	-0.125	-0.558	-0.635	-0.306	-0.362	-0.37	-0.999	-0.327	-0.806	-1.316	-0.124	-1.099	-0.146	-0.357	-0.217	-0.396	-0.283	-0.759	-0.82	-0.119	-0.831
1	205626979	SLC45A3	-0.922	-0.847	-0.187	-0.792	-0.597	-0.483	-0.807	-0.217	-0.707	-0.042	-0.524	-0.771	-0.254	-0.05	-1.086	-0.536	-1.269	-0.323	-0.253	-1.186	-0.672	-0.555	-0.337	-0.127	-2.077	-1.019	-1.301	-0.299	-0.684	-0.496	-0.135	-0.717	-0.608	-0.011	-1.309	-0.625	-0.029	-0.207	-0.95	-0.687
1	186280784	TPR	-0.624	-0.182	-1.262	-0.447	-0.387	-0.216	-0.033	-1.553	-0.332	-0.759	-1.14	-0.211	-1.62	-0.369	-1.094	-0.81	-0.418	-0.529	-0.476	-1.096	-0.484	-0.806	-0.643	-0.915	-0.599	-0.23	-0.676	-0.188	-0.304	-0.02	-0.056	-0.022	-0.216	-0.439	-1.196	-0.994	-0.643	-0.547	-0.701	-1.258
2	29415640	ALK	-0.686	-1.804	-0.628	-0.261	-0.604	-0.128	-0.381	-0.37	-1.504	-0.561	-0.336	-1.113	-0.462	-0.917	-1.698	-1.362	-0.086	-0.897	-0.162	-0.112	-0.941	-0.545	-0.034	-0.254	-0.354	-1.196	-0.254	-0.277	-0.035	-0.28	-0.325	-0.483	-0.353	-0.595	-0.938	-0.265	-0.893	-0.939	-0.531	-0.921
2	25956622	ASXL2	-0.548	-0.382	-0.091	-0.784	-0.363	-0.228	-1.141	-0.023	-0.574	-0.679	-0.205	-1.479	-0.708	-0.379	-0.33	-0.792	-0.277	-0.341	-0.129	-0.017	-0.171	-0.322	-0.202	-0.934	-0.437	-0.082	-0.229	-0.526	-0.625	-0.275	-0.416	-0.152	-0.232	-0.855	-0.423	-0.695	-0.328	-0.36	-0.544	-0.53
2	60678302	BCL11A	-0.563	-0.57	-0.229	-0.463	-0.718	-0.741	-0.54	-0.393	-0.415	-0.401	-1.036	-0.676	-0.192	-0.49	-0.742	-0.238	-0.745	-0.482	-0.34	-0.401	-0.514	-0.353	-0.341	-0.18	-0.543	-0.241	-0.04	-0.355	-1.033	-0.886	-0.944	-0.435	-0.648	-0.134	-1.083	-0.794	-0.484	-0.51	-0.692	-0.69
2	32582096	BIRC6	-0.238	-0.629	-0.34	-0.269	-0.699	-0.127	-0.419	-1.727	-1.688	-0.335	-0.246	-0.974	-0.555	-0.937	-0.504	-0.515	-1.445	-0.926	-0.274	-0.521	-0.509	-0.859	-1.105	-0.17	-0.394	-0.019	-0.664	-0.383	-0.5	-0.127	-1.273	-0.539	-0.405	-0.105	-0.398	-0.384	-0.771	-1.051	-0.444	-0.192
2	25455845	DNMT3A	-1.151	-1.082	-0.369	-0.181	-0.62	-0.057	-0.255	-1.142	-0.447	-1.655	-0.436	-0.364	-0.385	-0.36	-0.571	-0.419	-0.149	-0.353	-0.457	-1.007	-0.798	-0.531	-0.313	-0.104	-1.061	-0.402	-0.325	-0.187	-0.528	-0.32	-1.102	-0.651	-0.267	-0.551	-0.25	-0.543	-0.868	-0.372	-0.502	-0.463
2	42396490	EML4	-0.459	-0.374	-0.735	-0.647	-0.232	-0.187	-0.802	-0.655	-0.313	-0.305	-0.874	-1.212	-1.043	-1.053	-1.329	-0.624	-0.743	-0.47	-0.735	-0.627	-1.352	-0.48	-0.755	-0.718	-0.474	-0.068	-0.174	-0.359	-0.562	-0.887	-0.357	-0.456	-0.746	-0.128	-0.122	-0.947	-0.372	-0.206	-0.435	-0.362
2	46520806	EPAS1	-1.574	-0.13	-0.181	-1.214	-0.329	-0.026	-0.285	-0.436	-0.314	-0.16	-0.546	-0.97	-0.491	-0.264	-0.405	-0.12	-0.34	-0.645	-1.402	-0.19	-0.518	-0.5	-1.119	-0.074	-0.249	-0.309	-0.539	-0.624	-0.815	-0.346	-1.873	-1.379	-0.117	-1.632	-0.145	-0.494	-0.298	-0.437	-0.858	-0.45
2	48016455	FBXO11	-0.391	-0.761	-0.083	-0.83	-0.532	-1.081	-0.378	-0.576	-0.763	-0.37	-0.703	-0.283	-0.152	-0.103	-1.22	-0.364	-0.63	-0.302	-0.326	-0.625	-1.077	-0.979	-0.975	-1.178	-1.21	-0.528	-1.38	-0.471	-1.271	-0.719	-0.094	-1.135	-0.081	-0.812	-0.646	-0.266	-0.15	-1.263	-1.157	-0.21
2	47630108	MSH2	-0.061	-0.405	-0.517	-0.476	-0.861	-1.994	-0.327	-0.411	-0.19	-0.59	-0.448	-1.013	-0.276	-0.981	-1.414	-0.511	-0.145	-0.294	-0.99	-1.005	-0.755	-0.858	-0.239	-0.229	-0.604	-0.38	-0.21	-0.257	-0.5	-1.303	-0.066	-0.302	-1.076	-0.554	-0.567	-0.697	-1.259	-1.479	-0.202	-0.128
