CHROMOSOME	GENOME_START	GENE_SYMBOL	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40
2	29415640	ALK	-1.095	-0.105	-0.888	-1.217	-1.026	-0.131	-0.683	-1.023	-0.441	-0.681	-0.701	-1.009	-0.979	-1.643	-0.253	-0.304	-0.347	-0.014	-0.472	-0.74	-0.092	-0.616	-0.332	-0.352	-0.337	-0.991	-1.056	-1.096	-0.353	-0.175	-0.378	-0.104	-0.281	-0.091	-0.887	-0.219	-0.228	-0.429	-0.667	-0.459
2	25956622	ASXL2	-0.961	-0.285	-1.135	-0.458	-0.574	-1.344	-0.442	-0.253	-0.311	-0.715	-0.444	-1.307	-0.189	-1.296	-0.069	-1.186	-0.3	-0.569	-0.463	-0.472	-0.107	-0.412	-0.284	-0.172	-0.49	-0.872	-1.664	-1.27	-1.26	-0.609	-0.19	-0.508	-0.631	-0.352	-0.913	-0.541	-0.793	-0.81	-0.664	-0.536
2	60678302	BCL11A	-1.158	-0.814	-0.693	-0.645	-0.873	-1.205	-0.979	-0.305	-0.019	-0.493	-0.375	-1.331	-0.686	-0.065	-0.464	-0.466	-0.519	-0.632	-0.722	-0.528	-0.329	-0.967	-0.432	-0.717	-1.111	-1.003	-0.416	-0.323	-0.125	-1.031	-0.121	-0.508	-0.15	-0.667	-0.032	-1.449	-0.809	-2.028	-0.772	-1.776
2	32582096	BIRC6	-0.312	-0.6	-0.466	-0.751	-1.208	-0.98	-0.745	-0.767	-0.105	-0.093	-0.553	-0.52	-0.243	-0.965	-1.027	-0.943	-1.126	-0.345	-1.404	-0.848	-2.083	-0.231	-0.552	-0.96	-0.591	-1.053	-0.762	-0.222	-0.473	-1.372	-0.887	-0.852	-0.348	-0.673	-0.598	-1.586	-2.068	-1.225	-0.257	-0.164
2	25455845	DNMT3A	-0.851	-0.719	-0.281	-1.22	-1.545	-1.726	-0.029	-0.648	-0.457	-0.875	-0.694	-0.041	-0.417	-1.224	-0.709	-0.945	-0.252	-2.033	-0.159	-0.103	-0.557	-0.816	-0.065	-0.284	-0.821	-0.422	-0.962	-0.212	-0.738	-0.664	-0.432	-0.476	-0.486	-0.496	-0.117	-0.092	-0.915	-0.449	-0.77	-1.67
2	42396490	EML4	-1.718	-0.588	-1.229	-1.017	-1.05	-1.001	-0.536	-1.296	-0.407	-0.891	-0.79	-0.882	-1.356	-0.768	-0.898	-0.786	-0.37	-0.303	-0.946	-0.006	-0.76	-0.715	-0.142	-0.887	-1.381	-0.089	-0.587	-1.245	-0.07	-0.948	-0.411	-0.279	-0.741	-0.161	-1.218	-0.653	-0.26	-1.626	-0.705	-0.304
2	46520806	EPAS1	-1.265	-0.137	-0.29	-0.325	-0.475	-1.103	-0.491	-0.36	-1.707	-1.617	-1.91	-1.279	-0.656	-0.515	-0.288	-0.058	-0.992	-0.143	-0.257	-1.379	-0.232	-0.129	-0.46	-0.119	-1.338	-1.766	-0.568	-0.253	-0.681	-1.274	-0.567	-0.167	-0.85	-1.013	-0.849	-0.506	-1.216	-1.285	-0.296	-0.823
2	48016455	FBXO11	-0.582	-0.965	-1.815	-0.32	-1.27	-0.008	-0.148	-0.898	-0.784	-0.451	-0.464	-0.488	-0.89	-0.115	-0.315	-0.121	-0.531	-0.652	-1.344	-0.312	-0.489	-1.6	-0.548	-0.723	-0.59	-0.409	-0.808	-1.301	-0.947	-1.633	-0.294	-0.785	-0.359	-0.224	-0.993	-0.829	-0.554	-0.011	-0.392	-0.365
2	47630108	MSH2	-1.051	-1.105	-1.023	-0.851	-0.149	-0.364	-0.885	-0.196	-0.853	-0.914	-0.032	-0.698	-0.969	-0.146	-0.345	-0.114	-0.675	-1.881	-0.358	-1.037	-0.012	-0.928	-0.903	-0.693	-0.929	-0.439	-0.566	-0.155	-0.905	-0.432	-0.041	-0.757	-0.24	-0.111	-0.214	-1.089	-0.761	-0.989	-1.093	-0.793
2	47922669	MSH6	-0.676	-0.485	-0.935	-0.67	-0.414	-0.905	-0.352	-0.441	-0.427	-0.153	-0.779	-0.402	-0.168	-0.6	-0.3	-1.385	-0.42	-0.337	-0.198	-0.621	-0.59	-0.837	-2.403	-0.055	-0.288	-0.859	-0.791	-0.266	-1.311	-0.638	-0.172	-0.667	-0.218	-0.45	-0.82	-0.722	-1.198	-0.141	-0.964	-0.91
2	24714783	NCOA1	-0.668	-1.927	-0.359	-0.745	-0.263	-0.774	-0.63	-1.954	-2.049	-0.494	-0.093	-0.296	-0.358	-0.844	-0.047	-0.503	-0.184	-0.334	-0.416	-1.223	-0.352	-0.228	-0.713	-0.444	-0.352	-0.532	-0.127	-1.71	-0.119	-0.492	-0.29	-0.707	-0.27	-0.202	-0.199	-0.846	-0.449	-0.504	-0.919	-0.56
2	61108656	REL	-0.027	-0.783	-1.061	-1.012	-0.968	-0.581	-1.133	-0.742	-0.692	-0.478	-0.01	-2.113	-0.451	-0.657	-0.456	-0.475	-0.042	-0.332	-0.285	-0.863	-0.359	-0.175	-1.363	-0.399	-1.213	-0.605	-0.493	-0.995	-1.217	-0.281	-0.174	-1.538	-0.594	-0.701	-0.84	-0.222	-0.761	-0.792	-0.552	-0.022
2	45232300	SIX2	-1.035	-0.485	-0.345	-0.116	-0.435	-0.352	-0.844	-0.586	-0.654	-0.389	-0.353	-1.181	-0.308	-1.113	-1.195	-0.591	-0.876	-1.047	-0.868	-0.472	-0.027	-0.164	-0.366	-0.965	-0.127	-0.378	-0.988	-0.67	-0.362	-0.571	-0.762	-0.303	-0.138	-1.107	-0.523	-1.022	-0.366	-0.152	-1.139	-0.411
